timestamp,total_agents,agents_moving,agents_slowed,agents_stopped,average_speed,total_flow_rate,max_density,min_stability,congestion_severity
0.10,0,0,0,0,0.000,0.000,0.000,1.000,0.000
0.20,0,0,0,0,0.000,0.000,0.000,1.000,0.000
0.30,0,0,0,0,0.000,0.000,0.000,1.000,0.000
0.40,2,2,0,0,0.961,0.156,0.017,0.999,0.000
0.50,2,2,0,0,0.871,0.145,0.017,0.999,0.000
0.60,2,2,0,0,0.871,0.135,0.017,0.999,0.000
0.70,4,4,0,0,1.095,0.356,0.034,0.840,0.000
0.80,4,4,0,0,1.045,0.345,0.034,0.924,0.000
0.90,4,4,0,0,1.039,0.334,0.034,0.984,0.000
1.00,6,6,0,0,0.956,0.481,0.052,0.946,0.000
1.10,6,6,0,0,0.956,0.470,0.052,0.874,0.000
1.20,6,6,0,0,0.956,0.470,0.052,0.874,0.000
1.30,6,6,0,0,0.956,0.470,0.052,0.874,0.000
1.40,8,8,0,0,1.091,0.720,0.069,0.733,0.000
1.50,8,8,0,0,1.066,0.708,0.069,0.790,0.000
1.60,8,8,0,0,1.057,0.697,0.069,0.845,0.000
1.70,10,10,0,0,1.073,0.881,0.086,0.811,0.000
1.80,10,10,0,0,1.053,0.868,0.086,0.853,0.000
1.90,10,10,0,0,1.051,0.857,0.086,0.878,0.000
2.00,12,12,0,0,1.082,1.075,0.103,0.871,0.000
2.10,12,12,0,0,1.070,1.061,0.103,0.891,0.000
2.20,12,12,0,0,1.070,1.053,0.103,0.892,0.000
2.30,12,12,0,0,1.070,1.053,0.103,0.892,0.000
2.40,14,14,0,0,1.150,1.345,0.121,0.852,0.000
2.50,14,14,0,0,1.136,1.329,0.121,0.886,0.000
2.60,14,14,0,0,1.136,1.318,0.121,0.902,0.000
2.70,16,16,0,0,1.169,1.569,0.138,0.875,0.000
2.80,16,16,0,0,1.158,1.552,0.138,0.901,0.000
2.90,16,16,0,0,1.158,1.541,0.138,0.910,0.000
3.00,18,18,0,0,1.170,1.758,0.155,0.848,0.000
3.10,18,18,0,0,1.159,1.740,0.155,0.885,0.000
3.20,18,18,0,0,1.157,1.729,0.155,0.909,0.000
3.30,18,18,0,0,1.157,1.726,0.155,0.912,0.000
3.40,20,20,0,0,1.162,1.929,0.172,0.841,0.000
3.50,20,20,0,0,1.152,1.910,0.172,0.878,0.000
3.60,20,20,0,0,1.149,1.899,0.172,0.905,0.000
3.70,22,22,0,0,1.149,2.094,0.190,0.872,0.000
3.80,22,22,0,0,1.140,2.072,0.190,0.899,0.000
3.90,22,22,0,0,1.139,2.061,0.190,0.914,0.000
4.00,24,24,0,0,1.151,2.284,0.207,0.865,0.000
4.10,24,24,0,0,1.142,2.259,0.207,0.895,0.000
4.20,24,24,0,0,1.140,2.248,0.207,0.913,0.000
4.30,24,24,0,0,1.140,2.245,0.207,0.916,0.000
4.40,26,26,0,0,1.176,2.537,0.224,0.856,0.000
4.50,26,26,0,0,1.169,2.508,0.224,0.887,0.000
4.60,26,26,0,0,1.165,2.496,0.224,0.909,0.000
4.70,28,28,0,0,1.180,2.748,0.241,0.895,0.000
4.80,28,28,0,0,1.173,2.716,0.241,0.913,0.000
4.90,28,28,0,0,1.172,2.705,0.241,0.918,0.000
5.00,30,30,0,0,1.201,2.970,0.259,0.746,0.000
5.10,30,30,0,0,1.195,2.937,0.259,0.782,0.000
5.20,30,30,0,0,1.188,2.926,0.259,0.819,0.000
5.30,30,30,0,0,1.185,2.915,0.259,0.854,0.000
5.40,32,32,0,0,1.186,3.146,0.276,0.867,0.000
5.50,32,32,0,0,1.181,3.109,0.276,0.874,0.000
5.60,32,32,0,0,1.181,3.099,0.276,0.872,0.000
5.70,34,34,0,0,1.190,3.345,0.293,0.833,0.000
5.80,34,34,0,0,1.184,3.304,0.293,0.854,0.000
5.90,34,34,0,0,1.181,3.293,0.293,0.869,0.000
6.00,36,36,0,0,1.179,3.528,0.310,0.877,0.000
6.10,36,36,0,0,1.175,3.482,0.310,0.875,0.000
6.20,36,36,0,0,1.175,3.475,0.310,0.870,0.000
6.30,36,36,0,0,1.175,3.475,0.310,0.870,0.000
